date,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter
737484,1,1,0,20690,58480,12535,4660
737485,0,1,0,20652,58451,12552,4683
737486,0,2,0,20631,58417,12530,4675
737487,1,7,0,20638,58442,12539,4683
737488,5,2,0,20597,58341,12524,4679
737489,3,14,0,20542,58223,12529,4662
737490,8,8,0,20480,58086,12496,4658
737491,7,8,0,20499,58105,12453,4661
737492,21,18,0,20478,58158,12522,4660
737493,57,37,0,20453,58141,12527,4660
737494,69,58,0,20453,58120,12527,4664
737495,155,80,1,20465,58118,12519,4663
737496,355,108,0,20488,58172,12561,4656
737497,619,151,0,20458,57990,12493,4627
737498,642,176,2,20467,57919,12436,4600
737499,1035,210,4,20492,58021,12488,4637
737500,2121,341,8,20401,57881,12506,4628
737501,2452,385,8,20421,57924,12511,4626
737502,2971,494,20,20372,57864,12537,4619
737503,3706,628,24,20358,57813,12528,4618
737504,4006,745,47,20352,57655,12413,4610
737505,2638,741,44,20351,57704,12462,4598
737506,2580,768,49,20358,57836,12539,4616
737507,3570,1142,82,20383,57903,12579,4608
737508,4498,1308,95,20406,57973,12565,4603
737509,4874,1415,124,20372,57975,12573,4619
737510,5044,1540,186,20371,57975,12574,4612
737511,5118,1565,218,20357,57919,12562,4578
737512,3479,1391,273,20347,58014,12622,4614
737513,3560,1493,290,20362,58042,12618,4621
737514,6130,1849,325,20347,58055,12635,4635
737515,5458,1791,385,20341,58098,12677,4629
737516,5448,1738,447,20330,58058,12659,4617
737517,5747,1664,497,20265,57939,12673,4618
737518,5669,1708,498,20273,57982,12680,4617
737519,3864,1450,510,20280,57978,12681,4618
737520,3781,1396,578,20274,58021,12695,4631
737521,6353,1737,576,20278,57980,12669,4609
737522,6042,1581,598,20266,57982,12686,4617
737523,5576,1550,568,20254,57921,12694,4631
737524,5071,1349,559,20221,57842,12692,4633
737525,4510,1285,539,20185,57762,12658,4636
737526,3733,1042,542,20181,57772,12667,4622
737527,2888,946,571,20170,57776,12667,4626
737528,3311,1149,570,20181,57845,12693,4635
737529,4144,977,507,20109,57645,12643,4621
737530,3876,865,454,20091,57584,12637,4628
737531,3530,779,413,20023,57501,12720,4662
737532,3584,788,384,20003,57458,12786,4638
737533,2172,587,390,19998,57501,12810,4649
737534,2344,533,399,19991,57447,12781,4628
737535,3792,630,363,19965,57368,12766,4608
737536,3063,586,323,19949,57282,12714,4608
737537,3447,513,311,19976,57362,12779,4595
737538,2841,443,330,19948,57284,12753,4608
737539,2535,462,314,19891,57138,12702,4617
737540,1595,327,264,19899,57121,12702,4614
737541,1003,313,245,19892,57203,12782,4630
737542,2289,368,269,19861,57169,12805,4623
737543,2726,350,229,19858,57097,12774,4601
737544,2340,311,237,19819,56967,12764,4594
737545,2022,255,224,19792,56876,12753,4546
737546,1887,263,210,19750,56705,12703,4499
737547,1058,204,190,19762,56669,12654,4477
737548,787,214,177,19730,56645,12685,4484
737549,1550,240,158,19749,56721,12710,4493
737550,1512,212,151,19726,56667,12734,4496
737551,1398,215,151,19760,56766,12748,4529
737552,1239,173,142,19760,56692,12711,4517
737553,1080,172,131,19707,56745,12809,4531
737554,657,122,99,19710,56771,12800,4542
737555,457,102,103,19706,56802,12826,4536
737556,1231,181,104,19700,56799,12810,4561
737557,1285,114,90,19649,56636,12788,4539
737558,1333,125,83,19676,56628,12744,4516
737559,1110,144,70,19628,56552,12790,4501
737560,873,124,86,19616,56492,12745,4493
737561,485,93,83,19598,56487,12775,4488
737562,360,82,77,19574,56511,12815,4504
737563,895,114,59,19528,56461,12830,4499
737564,1003,117,55,19566,56514,12825,4503
737565,1077,78,79,19559,56534,12872,4510
737566,1069,84,45,19546,56480,12871,4506
737567,1036,102,65,19552,56440,12819,4496
737568,455,74,60,19494,56364,12821,4523
737569,467,88,48,19490,56334,12810,4510
737570,464,78,47,19522,56393,12813,4501
737571,1050,75,38,19541,56424,12811,4506
737572,741,76,48,19550,56442,12830,4512
737573,646,80,38,19485,56355,12860,4504
737574,639,85,43,19472,56314,12841,4495
737575,346,55,52,19414,56167,12797,4502
737576,230,60,39,19410,56283,12891,4522
737577,686,84,35,19403,56319,12957,4501
737578,571,63,37,19409,56327,12983,4492
737579,515,75,43,19369,56249,12972,4501
737580,520,76,33,19329,56185,12993,4504
737581,402,56,28,19249,56101,13031,4479
737582,247,36,34,19256,56022,12958,4478
737584,447,62,39,19265,56116,13021,4472
737585,419,65,31,19246,56082,13035,4465
737586,363,63,32,19224,56035,13033,4481
737587,363,50,21,19240,56028,13001,4501
737588,409,53,23,19224,55961,12956,4497
737589,196,34,15,19238,55972,12935,4478
737590,180,46,23,19237,56031,12993,4491
737591,380,53,20,19256,56070,13012,4467
737593,356,50,19,19195,55912,13052,4442
737594,378,58,17,19170,55810,13054,4387
737595,361,45,15,19136,55783,13031,4466
737596,203,27,17,19133,55774,13028,4471
737597,172,43,23,19131,55769,12991,4493
737598,402,50,17,19170,55857,13010,4485
737599,381,44,19,19152,55841,13009,4478
737600,381,54,17,19045,55659,13045,4492
737601,298,43,15,19018,55623,13035,4492
737602,317,33,17,18983,55513,12985,4487
737604,201,33,11,18984,55540,13056,4467
737605,437,49,16,18980,55545,13080,4466
737606,441,46,11,18991,55553,13066,4464
737607,395,38,9,19001,55560,13038,4453
737608,416,46,15,18987,55473,13005,4453
737609,234,30,11,18940,55373,13013,4451
737610,120,30,5,18967,55235,12825,4437
737611,155,27,8,18957,55402,13015,4439
737612,431,55,6,18949,55504,13067,4481
737613,461,47,6,18926,55394,13086,4451
737614,437,34,14,18906,55377,13099,4463
737615,390,46,6,18951,55456,13102,4466
737616,306,44,5,18930,55487,13152,4486
737617,259,33,8,18913,55460,13151,4462
737617,259,33,8,18913,55460,13151,4462
737618,223,27,4,18867,55362,13117,4486
737619,483,50,14,18858,55335,13136,4465
737620,402,43,11,18895,55367,13108,4470
737620,402,43,11,18895,55367,13108,4470
737621,440,44,12,18918,55251,12933,4481
737622,411,35,6,18874,55321,13089,4476
737622,411,35,6,18874,55321,13089,4476
737623,413,50,11,18854,55247,13070,4461
737623,413,50,11,18854,55247,13070,4461
737624,216,27,9,18802,55160,13061,4477
737624,216,27,9,18802,55160,13061,4477
737625,176,38,7,18825,55234,13081,4478
737625,176,38,7,18825,55234,13081,4478
737626,401,38,7,18820,55258,13112,4479
737626,401,38,7,18820,55258,13112,4479
737627,340,24,6,18834,55296,13128,4488
737627,340,24,6,18834,55296,13128,4488
737628,329,40,6,18820,55284,13168,4474
737628,329,40,6,18820,55284,13168,4474
737629,308,32,8,18801,55206,13120,4487
737629,308,32,8,18801,55206,13120,4487
737630,298,41,5,18761,55123,13113,4461
737630,298,41,5,18761,55123,13113,4461
737631,153,35,11,18758,55134,13114,4466
737631,153,35,11,18758,55134,13114,4466
737632,140,25,7,18730,55118,13145,4486
737632,140,25,7,18730,55118,13145,4486
737633,312,39,3,18717,55076,13130,4489
737633,312,39,3,18717,55076,13130,4489
737634,313,37,11,18724,55079,13129,4481
737634,313,37,11,18724,55079,13129,4481
737635,287,30,5,18684,55048,13160,4491
737635,287,30,5,18684,55048,13160,4491
737636,274,37,4,18716,55090,13141,4508
737636,274,37,4,18716,55090,13141,4508
737637,262,34,3,18718,54930,13048,4486
737637,262,34,3,18718,54930,13048,4486
737638,189,27,6,18654,54810,13049,4481
737638,189,27,6,18654,54810,13049,4481
737639,135,32,2,18708,54956,13072,4496
737639,135,32,2,18708,54956,13072,4496
737640,348,39,2,18672,54978,13118,4503
737640,348,39,2,18672,54978,13118,4503
737641,187,32,4,18675,54943,13104,4497
737641,187,32,4,18675,54943,13104,4497
737642,298,39,6,18627,54868,13096,4498
737642,298,39,6,18627,54868,13096,4498
737643,288,34,5,18669,54945,13148,4481
737643,288,34,5,18669,54945,13148,4481
737644,255,24,2,18633,54838,13117,4485
737644,255,24,2,18633,54838,13117,4485
737645,160,20,4,18623,54762,13085,4475
737645,160,20,4,18623,54762,13085,4475
737646,133,27,3,18619,54841,13140,4496
737646,133,27,3,18619,54841,13140,4496
737647,312,41,5,18611,54841,13116,4514
737647,312,41,5,18611,54841,13116,4514
737648,263,24,4,18583,54737,13092,4532
737648,263,24,4,18583,54737,13092,4532
737649,320,31,1,18639,54907,13148,4546
737649,320,31,1,18639,54907,13148,4546
737650,276,38,3,18614,54841,13155,4529
737650,276,38,3,18614,54841,13155,4529
737651,277,38,3,18587,54729,13091,4520
737651,277,38,3,18587,54729,13091,4520
737652,151,23,4,18590,54764,13128,4516
737652,151,23,4,18590,54764,13128,4516
737653,140,21,5,18613,54876,13192,4521
737653,140,21,5,18613,54876,13192,4521
737654,333,34,5,18521,54737,13225,4526
737654,333,34,5,18521,54737,13225,4526
737655,283,39,1,18521,54662,13145,4518
737655,283,39,1,18521,54662,13145,4518
737656,257,36,1,18550,54783,13177,4531
737656,257,36,1,18550,54783,13177,4531
737657,227,35,6,18535,54791,13224,4547
737658,252,31,3,18517,54710,13205,4527
737659,136,27,5,18524,54704,13190,4540
737660,150,21,3,18523,54749,13211,4546
737661,297,36,8,18514,54756,13221,4538
737662,283,42,4,18463,54601,13212,4545
737663,313,27,6,18487,54630,13220,4556
737664,274,29,1,18517,54697,13223,4552
737665,280,23,5,18461,54638,13231,4544
737666,128,22,2,18457,54677,13263,4557
737667,186,20,4,18472,54655,13230,4546
737668,315,41,1,18436,54570,13226,4533
737669,294,21,3,18441,54502,13239,4525
737670,271,27,4,18515,54623,13223,4535
737671,273,18,5,18431,54512,13240,4542
737672,230,32,5,18404,54413,13217,4531
737673,156,22,3,18399,54436,13248,4522
737674,207,30,7,18372,54331,13202,4509
737675,218,20,1,18425,54463,13235,4532
737676,393,27,2,18425,54477,13211,4554
737677,352,31,1,18431,54490,13263,4542
737678,323,26,3,18417,54487,13277,4564
737679,313,31,4,18410,54423,13236,4539
737680,202,12,4,18449,54471,13201,4542
737681,254,17,3,18410,54498,13283,4562
737682,434,32,5,18360,54368,13230,4557
737683,338,29,3,18382,54460,13310,4566
737684,367,46,6,18370,54468,13316,4576
737685,353,34,4,18352,54438,13334,4557
737686,283,35,3,18377,54443,13280,4549
737687,158,21,5,18340,54360,13284,4555
737688,158,21,5,18355,54426,13292,4568
737689,513,28,3,18296,54337,13315,4554
737690,405,33,3,18300,54324,13327,4565
737691,531,38,4,18250,54173,13293,4546
737692,476,41,3,18266,54188,13280,4543
737693,457,47,4,18257,54133,13220,4523
737694,279,27,5,18240,54090,13229,4510
737695,382,34,2,18269,54190,13272,4523
737696,436,37,3,18213,54132,13313,4510
737697,686,51,7,18255,54136,13276,4493
737698,584,51,8,18270,54143,13278,4520
737699,614,41,5,18269,54097,13242,4524
737700,597,48,3,18280,54103,13225,4503
737701,277,25,5,18215,53948,13210,4508
737702,335,44,7,18240,54072,13299,4512
737703,764,56,0,18201,54041,13289,4510
737704,571,47,3,18247,54096,13287,4517
737705,542,46,4,18252,54134,13321,4528
737706,526,45,6,18189,54059,13312,4532
737707,524,55,2,18228,54115,13292,4536
737708,315,37,4,18226,54161,13348,4521
737709,281,46,7,18229,54190,13366,4540
737710,515,51,8,18205,54180,13397,4543
737711,589,50,4,18247,54214,13352,4542
737712,583,58,6,18188,54066,13380,4511
737713,604,74,8,18240,54200,13419,4514
737714,503,49,7,18267,54258,13431,4520
737715,366,34,6,18259,54236,13432,4526
737716,414,40,4,18293,54367,13463,4532
737717,627,67,7,18256,54215,13404,4531
737718,601,72,5,18275,54236,13434,4529
737719,653,52,5,18218,54085,13423,4508
737720,759,52,3,18275,54219,13437,4522
737720,759,52,3,18275,54219,13437,4522
737721,601,59,4,18281,54227,13403,4520
737722,386,46,1,18231,54144,13433,4503
737723,361,45,9,18244,54167,13409,4529
737724,695,55,4,18186,54174,13479,4530
737725,741,45,8,18181,54203,13505,4544
737726,784,45,4,18106,54032,13502,4544
737727,620,59,4,18093,54084,13569,4542
737728,653,57,10,18107,54090,13562,4523
737729,403,48,4,18129,54109,13536,4516
737730,501,53,12,18125,54124,13559,4533
737731,952,63,10,18112,54147,13622,4534
737732,903,75,12,18147,54184,13634,4525
737733,1112,66,9,18069,54019,13588,4536
737734,1140,82,9,18081,54031,13579,4539
737735,1036,64,10,18054,53972,13581,4523
737736,843,57,13,18029,53918,13576,4523
737737,788,64,7,18036,54000,13632,4523
737738,1545,77,4,18021,53926,13590,4524
737739,1596,88,7,17972,53842,13608,4519
737740,1538,96,9,17984,53917,13682,4543
737741,1501,79,16,17974,53923,13682,4557
737742,1495,88,5,18028,54006,13659,4563
737743,1026,100,9,18061,54043,13649,4559
737743,1026,100,9,18061,54043,13649,4559
737744,896,87,14,18043,54016,13640,4557
737744,896,87,14,18043,54016,13640,4557
737745,1832,123,10,17961,53874,13647,4558
737746,1728,100,10,17917,53877,13728,4574
737747,1752,119,10,17958,53963,13744,4562
737748,1855,130,9,17895,53870,13750,4574
737749,1772,130,7,17903,53797,13673,4551
737750,1291,121,11,17948,53903,13695,4545
737751,1148,113,10,17974,53925,13647,4557
737752,2315,146,13,17985,54008,13703,4550
737753,2073,130,16,17899,53753,13668,4532
737754,2368,137,13,17899,53729,13655,4499
737755,807,153,7,17914,53743,13628,4487
737756,2295,156,15,17891,53708,13645,4510
737757,1786,125,13,17897,53745,13664,4514
737758,1727,164,15,17847,53686,13713,4508
737759,2802,186,18,17780,53592,13692,4522
737760,3138,201,20,17747,53501,13698,4516
737761,3006,168,27,17809,53634,13700,4519
737762,2876,206,18,17771,53610,13720,4534
737763,2809,183,26,17805,53676,13726,4528
737764,1882,174,23,17779,53686,13765,4554
737765,1754,177,21,17771,53674,13760,4554
737766,3303,221,19,17746,53626,13779,4545
737767,3061,219,22,17781,53698,13787,4548
737768,3107,275,27,17805,53758,13817,4558
737770,2978,246,30,17781,53684,13789,4562
737771,2206,210,34,17781,53694,13791,4561
737772,2176,226,25,17794,53778,13848,4570
737773,3577,257,30,17743,53712,13865,4569
737774,3679,236,32,17721,53682,13882,4556
737775,2783,209,39,17674,53604,13878,4554
737776,1923,233,35,17661,53652,13913,4558
737777,3429,274,39,17661,53630,13875,4561
737778,2555,234,31,17627,53557,13883,4548
737779,2347,242,29,17656,53665,13932,4551
737780,4335,326,41,17570,53442,13875,4549
737781,4097,283,53,17549,53356,13856,4551
737782,3843,301,39,17564,53351,13827,4537
737783,3012,275,39,17600,53385,13849,4521
737785,3453,272,36,17576,53470,13931,4534
737786,2886,243,44,17592,53534,13950,4542
737787,5385,346,43,17505,53349,13908,4557
737788,5202,319,50,17417,53206,13952,4562
737789,4982,317,40,17422,53085,13850,4535
737790,3386,281,41,17401,52874,13692,4497
737791,1336,301,36,17427,53146,13861,4524
737792,4186,324,56,17438,53128,13854,4507
737793,3452,300,38,17457,53259,13925,4530
737794,6586,402,61,17365,52955,13787,4504
737795,6147,347,65,17316,52905,13876,4508
737796,5677,377,59,17362,52947,13836,4522
737797,5429,360,52,17259,52781,13859,4533
737798,5291,352,61,17220,52754,13872,4526
737799,3690,322,72,17261,52845,13875,4536
737800,3198,308,52,17287,52955,13930,4548
737801,5907,403,59,17250,52906,13943,4544
737802,5231,387,74,17229,52776,13896,4540
737803,5172,427,67,17256,52895,13943,4538
737804,5255,435,65,17156,52659,13952,4552
737805,4835,397,63,17119,52609,13919,4549
737806,3474,364,66,17151,52705,13941,4558
737807,2917,331,56,17160,52728,13940,4550
737808,4643,436,74,17173,52804,13989,4558
737809,5141,384,81,17118,52689,13974,4563
737810,4905,362,74,17165,52754,13961,4569
737811,4937,420,63,17207,52853,13965,4583
737812,4707,434,79,17185,52827,13998,4571
737813,3272,322,78,17270,53005,14036,4567
737814,2855,340,67,17209,52873,14026,4574
737815,5658,400,65,17192,52923,14066,4594
737816,4692,367,78,17174,52833,14044,4583
